ID	Table Name	Enabled	Event	Series
1	1 CORINTHIANS	1	0	0
2	1 TIMOTHY	1	0	0
3	1-3 JOHN	1	0	0
4	2 TIMOTHY	1	0	0
5	2009 HeartCry Romania Conferences	1	0	0
6	AIT - Bartlett Baptist Church Couples Retreat	1	0	0
7	AIT - Central Park Baptist Decatur	1	0	0
8	AIT - Honduras Leadership Training Conferences	1	0	0
9	AIT - India Leadership Training Conferences	1	0	0
10	AIT - MABTS NE Branch, Leadership Training Conference	1	0	0
11	AIT - Montego Bay Jamaica Leadership Training Conference	1	0	0
12	AIT - Romania Leadership Training Conference	1	0	0
13	AIT - South Africa Leadership Training Conferences	1	0	0
14	AIT - South Norfolk Baptist Couples Retreat	1	0	0
15	AIT - Student Discipleship Conferences	1	0	0
16	AL Alabama Baptist State Convention Events	1	0	0
17	AL Antioch Baptist Cullman	1	0	0
18	AL Arbor Springs Baptist Northport	1	0	0
19	AL Asphalt Rock Baptist	1	0	0
20	AL Associational Events	1	0	0
21	AL Austinville Baptist Decatur	1	0	0
22	AL BSU Noonday Service, UNA	1	0	0
23	AL Baptist Pastor's Conference	1	0	0
24	AL Bethel Baptist Church Odenville	1	0	0
25	AL Calvary Baptist Scottsboro	1	0	0
26	AL Capshaw Baptist Harvest	1	0	0
27	AL Central Baptist Talladega	1	0	0
28	AL Central Park Baptist Decatur	1	0	0
29	AL Church at Brook Hills Birmingham	1	0	0
30	AL Colbert-Lauderdale Baptist Assoc	1	0	0
31	AL Corinth Heights Baptist Haleyville	1	0	0
32	AL Duncan Creek Baptist Russellville	1	0	0
33	AL Elkmont Baptist Elkmont	1	0	0
34	AL Emmanuel Baptist Athens	1	0	0
35	AL FBC Barton	1	0	0
36	AL FBC Hackleburg	1	0	0
37	AL FBC Hamilton	1	0	0
38	AL FBC Hokes Bluff	1	0	0
39	AL FBC Holly Pond	1	0	0
40	AL FBC Irondale	1	0	0
41	AL FBC Jackson	1	0	0
42	AL FBC Jasper	1	0	0
43	AL FBC Killen	1	0	0
44	AL FBC Lanett	1	0	0
45	AL FBC Rogersville	1	0	0
46	AL FBC Russellville	1	0	0
47	AL FBC Saks	1	0	0
48	AL FBC Samson	1	0	0
49	AL FBC Satsuma	1	0	0
50	AL Fairhaven Baptist Demopolis	1	0	0
51	AL Fairview Baptist Florence	1	0	0
52	AL Flint River Baptist Hazel Green	1	0	0
53	AL Freedom Crusade Florence	1	0	0
54	AL Gilliam Springs Baptist Arab	1	0	0
55	AL Gladview Baptist Anniston	1	0	0
